2024-04-28	20:06:28	текст	Raton	1207131355	/start
2024-04-28	20:16:43	текст	Raton	1207131355	/start
2024-04-28	20:16:49	текст	Raton	1207131355	/help
2024-04-28	20:16:54	текст	Raton	1207131355	/web
2024-04-28	20:19:13	текст	Raton	1207131355	/start
2024-04-28	20:19:16	текст	Raton	1207131355	/help
2024-04-28	20:19:18	текст	Raton	1207131355	/menu
2024-04-28	20:19:22	текст	Raton	1207131355	/low
2024-04-28	20:19:32	текст	Raton	1207131355	/high
2024-04-28	20:19:40	текст	Raton	1207131355	/coords
2024-04-28	20:19:47	текст	Raton	1207131355	/weather
2024-04-28	20:19:52	текст	Raton	1207131355	/web
2024-04-28	20:20:00	текст	Raton	1207131355	/history
